Category	Title	RawWiki	CleanWiki
Animals	Tiger	The tiger (Panthera tigris) is the largest extant cat species and a member of the genus Panthera. It is most recognisable for its dark vertical stripes on orange-brown fur with a lighter underside. It is an apex predator, primarily preying on ungulates such as deer and wild boar. It is territorial and generally a solitary but social predator, requiring large contiguous areas of habitat, which support its requirements for prey and rearing of its offspring. Tiger cubs stay with their mother for about two years, before they become independent and leave their mother's home range to establish their own. The tiger once ranged widely from the Eastern Anatolia Region in the west to the Amur River basin, and in the south from the foothills of the Himalayas to Bali in the Sunda islands. Since the early 20th century, tiger populations have lost at least 93% of their historic range and have been extirpated in Western and Central Asia, from the islands of Java and Bali, and in large areas of Southeast and South Asia and China. Today's tiger range is fragmented, stretching from Siberian temperate forests to subtropical and tropical forests on the Indian subcontinent and Sumatra.  The tiger is listed as endangered on the IUCN Red List. As of 2015, the global wild tiger population was estimated to number between 3,062 and 3,948 mature individuals, with most of the populations living in small pockets isolated from each other. India currently hosts the largest tiger population. Major reasons for population decline are habitat destruction, habitat fragmentation and poaching. Tigers are also victims of human–wildlife conflict, in particular in range countries with a high human population density. The tiger is among the most recognisable and popular of the world's charismatic megafauna. It featured prominently in ancient mythology and folklore and continues to be depicted in modern films and literature, appearing on many flags, coats of arms and as mascots for sporting teams. The tiger is the national animal of India, Bangladesh, Malaysia and South Korea.	the tiger panthera tigris is the largest extant cat species and a member of the genus panthera it is most recognisable for its dark vertical stripes on orange brown fur with a lighter underside it is an apex predator primarily preying on ungulates such as deer and wild boar it is territorial and generally a solitary but social predator requiring large contiguous areas of habitat which support its requirements for prey and rearing of its offspring tiger cubs stay with their mother for about two years before they become independent and leave their mother s home range to establish their own the tiger once ranged widely from the eastern anatolia region in the west to the amur river basin and in the south from the foothills of the himalayas to bali in the sunda islands since the early century tiger populations have lost at least of their historic range and have been extirpated in western and central asia from the islands of java and bali and in large areas of southeast and south asia and china today s tiger range is fragmented stretching from siberian temperate forests to subtropical and tropical forests on the indian subcontinent and sumatra the tiger is listed as endangered on the iucn red list as of the global wild tiger population was estimated to number between and mature individuals with most of the populations living in small pockets isolated from each other india currently hosts the largest tiger population major reasons for population decline are habitat destruction habitat fragmentation and poaching tigers are also victims of human wildlife conflict in particular in range countries with a high human population density the tiger is among the most recognisable and popular of the world s charismatic megafauna it featured prominently in ancient mythology and folklore and continues to be depicted in modern films and literature appearing on many flags coats of arms and as mascots for sporting teams the tiger is the national animal of india bangladesh malaysia and south korea
Animals	Rabbit	Rabbits are small mammals in the family Leporidae (along with the hare) of the order Lagomorpha (along with the pika).  Oryctolagus cuniculus includes the European rabbit species and its descendants, the world's 305 breeds[1] of domestic rabbit. Sylvilagus includes 13 wild rabbit species, among them the seven types of cottontail. The European rabbit, which has been introduced on every continent except Antarctica, is familiar throughout the world as a wild prey animal and as a domesticated form of livestock and pet. With its widespread effect on ecologies and cultures, the rabbit (or bunny) is, in many areas of the world, a part of daily life—as food, clothing, a companion, and a source of artistic inspiration. Although once considered rodents, lagomorphs like rabbits have been discovered to have diverged separately and earlier than their rodent cousins, and have a number of traits rodents lack, like two extra incisors.	rabbits are small mammals in the family leporidae along with the hare of the order lagomorpha along with the pika oryctolagus cuniculus includes the european rabbit species and its descendants the world s breeds of domestic rabbit sylvilagus includes wild rabbit species among them the seven types of cottontail the european rabbit which has been introduced on every continent except antarctica is familiar throughout the world as a wild prey animal and as a domesticated form of livestock and pet with its widespread effect on ecologies and cultures the rabbit or bunny is in many areas of the world a part of daily life as food clothing a companion and a source of artistic inspiration although once considered rodents lagomorphs like rabbits have been discovered to have diverged separately and earlier than their rodent cousins and have a number of traits rodents lack like two extra incisors
Animals	Koala Bear	The koala or, inaccurately, koala bear[a]  (Phascolarctos cinereus) is an arboreal herbivorous marsupial native to Australia. It is the only extant representative of the family Phascolarctidae and its closest living relatives are the wombats, which are members of the family Vombatidae. The koala is found in coastal areas of the mainland's eastern and southern regions, inhabiting Queensland, New South Wales, Victoria, and South Australia. It is easily recognisable by its stout, tailless body and large head with round, fluffy ears and large, spoon-shaped nose. The koala has a body length of 60–85 cm (24–33 in) and weighs 4–15 kg (9–33 lb). Fur colour ranges from silver grey to chocolate brown. Koalas from the northern populations are typically smaller and lighter in colour than their counterparts further south. These populations possibly are separate subspecies, but this is disputed. Koalas typically inhabit open eucalypt woodlands, and the leaves of these trees make up most of their diet. Because this eucalypt diet has limited nutritional and caloric content, koalas are largely sedentary and sleep up to 20 hours a day. They are asocial animals, and bonding exists only between mothers and dependent offspring. Adult males communicate with loud bellows that intimidate rivals and attract mates. Males mark their presence with secretions from scent glands located on their chests. Being marsupials, koalas give birth to underdeveloped young that crawl into their mothers' pouches, where they stay for the first six to seven months of their lives. These young koalas, known as joeys, are fully weaned around a year old. Koalas have few natural predators and parasites, but are threatened by various pathogens, such as Chlamydiaceae bacteria and the koala retrovirus. Koalas were hunted by Indigenous Australians and depicted in myths and cave art for millennia. The first recorded encounter between a European and a koala was in 1798, and an image of the animal was published in 1810 by naturalist George Perry. Botanist Robert Brown wrote the first detailed scientific description of the koala in 1814, although his work remained unpublished for 180 years. Popular artist John Gould illustrated and described the koala, introducing the species to the general British public. Further details about the animal's biology were revealed in the 19th century by several English scientists. Because of its distinctive appearance, the koala is recognised worldwide as a symbol of Australia. Koalas are listed as a vulnerable species by the International Union for Conservation of Nature. The animal was hunted heavily in the early 20th century for its fur, and large-scale cullings in Queensland resulted in a public outcry that initiated a movement to protect the species. Sanctuaries were established, and translocation efforts moved to new regions koalas whose habitat had become fragmented or reduced. Among the many threats to their existence are habitat destruction caused by agriculture, urbanisation, droughts and associated bushfires, some related to climate change.	the koala or inaccurately koala bear a phascolarctos cinereus is an arboreal herbivorous marsupial native to australia it is the only extant representative of the family phascolarctidae and its closest living relatives are the wombats which are members of the family vombatidae the koala is found in coastal areas of the mainland s eastern and southern regions inhabiting queensland new south wales victoria and south australia it is easily recognisable by its stout tailless body and large head with round fluffy ears and large spoon shaped nose the koala has a body length of cm in and weighs kg lb fur colour ranges from silver grey to chocolate brown koalas from the northern populations are typically smaller and lighter in colour than their counterparts further south these populations possibly are separate subspecies but this is disputed koalas typically inhabit open eucalypt woodlands and the leaves of these trees make up most of their diet because this eucalypt diet has limited nutritional and caloric content koalas are largely sedentary and sleep up to hours a day they are asocial animals and bonding exists only between mothers and dependent offspring adult males communicate with loud bellows that intimidate rivals and attract mates males mark their presence with secretions from scent glands located on their chests being marsupials koalas give birth to underdeveloped young that crawl into their mothers pouches where they stay for the first six to seven months of their lives these young koalas known as joeys are fully weaned around a year old koalas have few natural predators and parasites but are threatened by various pathogens such as chlamydiaceae bacteria and the koala retrovirus koalas were hunted by indigenous australians and depicted in myths and cave art for millennia the first recorded encounter between a european and a koala was in and an image of the animal was published in by naturalist george perry botanist robert brown wrote the first detailed scientific description of the koala in although his work remained unpublished for years popular artist john gould illustrated and described the koala introducing the species to the general british public further details about the animal s biology were revealed in the century by several english scientists because of its distinctive appearance the koala is recognised worldwide as a symbol of australia koalas are listed as a vulnerable species by the international union for conservation of nature the animal was hunted heavily in the early century for its fur and large scale cullings in queensland resulted in a public outcry that initiated a movement to protect the species sanctuaries were established and translocation efforts moved to new regions koalas whose habitat had become fragmented or reduced among the many threats to their existence are habitat destruction caused by agriculture urbanisation droughts and associated bushfires some related to climate change
Animals	Guinea Pig	The  guinea pig or domestic guinea pig (Cavia porcellus), also known as cavy or domestic cavy (/ˈkeɪvi/), is a species of rodent belonging to the family Caviidae and the genus Cavia. Despite their common name, guinea pigs are not native to Guinea, nor are they closely biologically related to pigs, and the origin of the name is still unclear. They originated in the Andes of South America. Studies based on biochemistry and hybridization suggest they are domesticated descendants of a closely related species of cavy, such as C. tschudii, and do not exist naturally in the wild.[1][2] They were originally domesticated as livestock, for a source of meat, and continue to be consumed as food. In Western society, the domestic guinea pig has enjoyed widespread popularity as a pocket pet, since its introduction to Europe and North America by European traders in the 16th century. Their docile nature, friendly responsiveness to handling and feeding, and the relative ease of caring for them have made guinea pigs a continuing popular choice of household pet. Organizations devoted to the competitive breeding of guinea pigs have been formed worldwide. Many specialized breeds, with varying coat colors and textures, are selected by breeders. The domestic guinea pig plays an important role in folk culture for many indigenous Andean peoples, especially as a food source. It is also used in folk medicine and in community religious ceremonies.[3] The animals are used for meat and are a culinary staple in the Andes Mountains, where they are known as cuy.  In the 1960s a modern breeding program was started in Peru that resulted in large breeds known as cuy mejorados (improved cuy). Marketers tried to increase consumption of the animal outside South America.[4] Biological experimentation on domestic guinea pigs has been carried out since the 17th century. The animals were used so frequently as model organisms in the 19th and 20th centuries that the epithet guinea pig came into use to describe a human test subject. Since that time, they have been largely replaced by other rodents, such as mice and rats. However, they are still used in research, primarily as models to study such human medical conditions as juvenile diabetes, tuberculosis, scurvy (like humans, they require dietary intake of vitamin C), and pregnancy complications.	the guinea pig or domestic guinea pig cavia porcellus also known as cavy or domestic cavy ˈkeɪvi is a species of rodent belonging to the family caviidae and the genus cavia despite their common name guinea pigs are not native to guinea nor are they closely biologically related to pigs and the origin of the name is still unclear they originated in the andes of south america studies based on biochemistry and hybridization suggest they are domesticated descendants of a closely related species of cavy such as c tschudii and do not exist naturally in the wild they were originally domesticated as livestock for a source of meat and continue to be consumed as food in western society the domestic guinea pig has enjoyed widespread popularity as a pocket pet since its introduction to europe and north america by european traders in the century their docile nature friendly responsiveness to handling and feeding and the relative ease of caring for them have made guinea pigs a continuing popular choice of household pet organizations devoted to the competitive breeding of guinea pigs have been formed worldwide many specialized breeds with varying coat colors and textures are selected by breeders the domestic guinea pig plays an important role in folk culture for many indigenous andean peoples especially as a food source it is also used in folk medicine and in community religious ceremonies the animals are used for meat and are a culinary staple in the andes mountains where they are known as cuy in the a modern breeding program was started in peru that resulted in large breeds known as cuy mejorados improved cuy marketers tried to increase consumption of the animal outside south america biological experimentation on domestic guinea pigs has been carried out since the century the animals were used so frequently as model organisms in the and centuries that the epithet guinea pig came into use to describe a human test subject since that time they have been largely replaced by other rodents such as mice and rats however they are still used in research primarily as models to study such human medical conditions as juvenile diabetes tuberculosis scurvy like humans they require dietary intake of vitamin c and pregnancy complications
Animals	Mouse	A mouse, plural mice, is a small rodent. Characteristically, mice are known to have a pointed snout, small rounded ears, a body-length scaly tail, and a high breeding rate. The best known mouse species is the common house mouse (Mus musculus). Mice are also popular as pets. In some places, certain kinds of field mice are locally common. They are known to invade homes for food and shelter. Mice are classified under the order Rodentia. Typical mice are classified in the genus Mus. Mice are typically distinguished from rats by their size. Generally, when someone discovers a smaller muroid rodent, its common name includes the term mouse. If it is larger, the name includes the term rat. The common terms rat and mouse are not taxonomically specific. Scientifically, the term mouse is not confined to members of Mus for example, but also applies to species from other genera such as the deer mouse, Peromyscus. Domestic mice sold as pets often differ substantially in size from the common house mouse. This is attributable to breeding and different conditions in the wild. The best-known strain of mouse is the white lab mouse. It has more uniform traits that are appropriate to its use in research. Cats, wild dogs, foxes, birds of prey, snakes and even certain kinds of arthropods have been known to prey heavily upon mice. Despite this, mice populations remain plentiful. Due to its remarkable adaptability to almost any environment, the mouse is one of the most successful mammalian genera living on Earth today. In certain contexts, mice can be considered vermin. Vermin are a major source of crop damage,[1] as they are known to cause structural damage and spread disease. Mice spread disease through their feces and are often carriers of parasites.[2] In North America, breathing dust that has come in contact with mouse excrement has been linked to hantavirus, which may lead to hantavirus pulmonary syndrome (HPS). Primarily nocturnal[3] animals, mice compensate for their poor eyesight with a keen sense of hearing. They depend on their sense of smell to locate food and avoid predators.[4] In the wild, mice are known to build intricate burrows. These burrows have long entrances and are equipped with escape tunnels. In at least one species, the architectural design of a burrow is a genetic trait.[5]	a mouse plural mice is a small rodent characteristically mice are known to have a pointed snout small rounded ears a body length scaly tail and a high breeding rate the best known mouse species is the common house mouse mus musculus mice are also popular as pets in some places certain kinds of field mice are locally common they are known to invade homes for food and shelter mice are classified under the order rodentia typical mice are classified in the genus mus mice are typically distinguished from rats by their size generally when someone discovers a smaller muroid rodent its common name includes the term mouse if it is larger the name includes the term rat the common terms rat and mouse are not taxonomically specific scientifically the term mouse is not confined to members of mus for example but also applies to species from other genera such as the deer mouse peromyscus domestic mice sold as pets often differ substantially in size from the common house mouse this is attributable to breeding and different conditions in the wild the best known strain of mouse is the white lab mouse it has more uniform traits that are appropriate to its use in research cats wild dogs foxes birds of prey snakes and even certain kinds of arthropods have been known to prey heavily upon mice despite this mice populations remain plentiful due to its remarkable adaptability to almost any environment the mouse is one of the most successful mammalian genera living on earth today in certain contexts mice can be considered vermin vermin are a major source of crop damage as they are known to cause structural damage and spread disease mice spread disease through their feces and are often carriers of parasites in north america breathing dust that has come in contact with mouse excrement has been linked to hantavirus which may lead to hantavirus pulmonary syndrome hps primarily nocturnal animals mice compensate for their poor eyesight with a keen sense of hearing they depend on their sense of smell to locate food and avoid predators in the wild mice are known to build intricate burrows these burrows have long entrances and are equipped with escape tunnels in at least one species the architectural design of a burrow is a genetic trait
Animals	Penguin	Penguins (order Sphenisciformes /sfɪˈnɪsɪfɔːrmiːz/, family Spheniscidae /sfɪˈnɪsɪdiː/) are a group of aquatic flightless birds.  They live almost exclusively in the Southern Hemisphere, with only one species, the Galápagos penguin, found north of the Equator. Highly adapted for life in the water, penguins have countershaded dark and white plumage and flippers for swimming. Most penguins feed on krill, fish, squid and other forms of sea life which they catch while swimming underwater. They spend roughly half of their lives on land and the other half in the sea. Although almost all penguin species are native to the Southern Hemisphere, they are not found only in cold climates, such as Antarctica. In fact, only a few species of penguin live so far south. Several species are found in the temperate zone, but one species, the Galápagos penguin, lives near the Equator. The largest living species is the emperor penguin (Aptenodytes forsteri):[1] on average, adults are about 1.1 m (3 ft 7 in) tall and weigh 35 kg (77 lb).  The smallest penguin species is the little blue penguin (Eudyptula minor), also known as the fairy penguin, which stands around 33 cm (13 in) tall and weighs 1 kg (2.2 lb).[2] Among extant penguins, larger penguins inhabit colder regions, while smaller penguins are generally found in temperate or even tropical climates. Some prehistoric species attained enormous sizes, becoming as tall or as heavy as an adult human. These were not restricted to Antarctic regions; on the contrary, subantarctic regions harboured high diversity, and at least one giant penguin occurred in a region around 2,000 km south of the Equator 35 mya, in a climate decidedly warmer than today.[which?]	penguins order sphenisciformes sfɪˈnɪsɪfɔːrmiːz family spheniscidae sfɪˈnɪsɪdiː are a group of aquatic flightless birds they live almost exclusively in the southern hemisphere with only one species the galápagos penguin found north of the equator highly adapted for life in the water penguins have countershaded dark and white plumage and flippers for swimming most penguins feed on krill fish squid and other forms of sea life which they catch while swimming underwater they spend roughly half of their lives on land and the other half in the sea although almost all penguin species are native to the southern hemisphere they are not found only in cold climates such as antarctica in fact only a few species of penguin live so far south several species are found in the temperate zone but one species the galápagos penguin lives near the equator the largest living species is the emperor penguin aptenodytes forsteri on average adults are about m ft in tall and weigh kg lb the smallest penguin species is the little blue penguin eudyptula minor also known as the fairy penguin which stands around cm in tall and weighs kg lb among extant penguins larger penguins inhabit colder regions while smaller penguins are generally found in temperate or even tropical climates some prehistoric species attained enormous sizes becoming as tall or as heavy as an adult human these were not restricted to antarctic regions on the contrary subantarctic regions harboured high diversity and at least one giant penguin occurred in a region around km south of the equator mya in a climate decidedly warmer than today which
Animals	Cat	The cat (Felis catus) is a domestic species of small carnivorous mammal.[1][2] It is the only domesticated species in the family Felidae and is often referred to as the domestic cat to distinguish it from the wild members of the family.[4] A cat can either be a house cat, a farm cat or a feral cat; the latter ranges freely and avoids human contact.[5] Domestic cats are valued by humans for companionship and their ability to hunt rodents. About 60 cat breeds are recognized by various cat registries.[6] The cat is similar in anatomy to the other felid species: it has a strong flexible body, quick reflexes, sharp teeth and retractable claws adapted to killing small prey. Its night vision and sense of smell are well developed. Cat communication includes vocalizations like meowing, purring, trilling, hissing, growling and grunting as well as cat-specific body language. A predator that is most active at dawn and dusk, the cat is a solitary hunter but a social species. It can hear sounds too faint or too high in frequency for human ears, such as those made by mice and other small mammals.[7] It secretes and perceives pheromones.[8] Female domestic cats can have kittens from spring to late autumn, with litter sizes often ranging from two to five kittens.[9] Domestic cats are bred and shown at events as registered pedigreed cats, a hobby known as cat fancy. Failure to control breeding of pet cats by spaying and neutering, as well as abandonment of pets, resulted in large numbers of feral cats worldwide, contributing to the extinction of entire bird, mammal, and reptile species, and evoking population control.[10] Cats were first domesticated in the Near East around 7500 BC.[11] It was long thought that cat domestication was initiated in ancient Egypt, as since around 3100 BC veneration was given to cats in ancient Egypt.[12][13] As of 2017[update], the domestic cat was the second-most popular pet in the United States, with 95 million cats owned.[14][15][16] In the United Kingdom, around 7.3 million cats lived in more than 4.8 million households as of 2019[update].[17]	the cat felis catus is a domestic species of small carnivorous mammal it is the only domesticated species in the family felidae and is often referred to as the domestic cat to distinguish it from the wild members of the family a cat can either be a house cat a farm cat or a feral cat the latter ranges freely and avoids human contact domestic cats are valued by humans for companionship and their ability to hunt rodents about cat breeds are recognized by various cat registries the cat is similar in anatomy to the other felid species it has a strong flexible body quick reflexes sharp teeth and retractable claws adapted to killing small prey its night vision and sense of smell are well developed cat communication includes vocalizations like meowing purring trilling hissing growling and grunting as well as cat specific body language a predator that is most active at dawn and dusk the cat is a solitary hunter but a social species it can hear sounds too faint or too high in frequency for human ears such as those made by mice and other small mammals it secretes and perceives pheromones female domestic cats can have kittens from spring to late autumn with litter sizes often ranging from two to five kittens domestic cats are bred and shown at events as registered pedigreed cats a hobby known as cat fancy failure to control breeding of pet cats by spaying and neutering as well as abandonment of pets resulted in large numbers of feral cats worldwide contributing to the extinction of entire bird mammal and reptile species and evoking population control cats were first domesticated in the near east around bc it was long thought that cat domestication was initiated in ancient egypt as since around bc veneration was given to cats in ancient egypt as of update the domestic cat was the second most popular pet in the united states with million cats owned in the united kingdom around million cats lived in more than million households as of update
Animals	Dog	"The dog (Canis familiaris when considered a distinct species or Canis lupus familiaris when considered a subspecies of the wolf)[5] is a domesticated carnivore of the family Canidae. It is part of the wolf-like canids,[6] and is the most widely abundant terrestrial carnivore.[7][8][9][10][11] The dog and the extant gray wolf are sister taxa as modern wolves are not closely related to the wolves that were first domesticated,[12][13][14] which implies that the direct ancestor of the dog is extinct.[15] The dog was the first species to be domesticated,[14][16] and has been selectively bred over millennia for various behaviors, sensory capabilities, and physical attributes.[17] Their long association with humans has led dogs to be uniquely attuned to human behavior,[18] and they can thrive on a starch-rich diet that would be inadequate for other canids.[19] Dogs vary widely in shape, size, and colors.[20] They perform many roles for humans, such as hunting, herding, pulling loads, protection, assisting police and military, companionship, and, more recently, aiding disabled people, and therapeutic roles. This influence on human society has given them the sobriquet of ""man's best friend."""	the dog canis familiaris when considered a distinct species or canis lupus familiaris when considered a subspecies of the wolf is a domesticated carnivore of the family canidae it is part of the wolf like canids and is the most widely abundant terrestrial carnivore the dog and the extant gray wolf are sister taxa as modern wolves are not closely related to the wolves that were first domesticated which implies that the direct ancestor of the dog is extinct the dog was the first species to be domesticated and has been selectively bred over millennia for various behaviors sensory capabilities and physical attributes their long association with humans has led dogs to be uniquely attuned to human behavior and they can thrive on a starch rich diet that would be inadequate for other canids dogs vary widely in shape size and colors they perform many roles for humans such as hunting herding pulling loads protection assisting police and military companionship and more recently aiding disabled people and therapeutic roles this influence on human society has given them the sobriquet of man s best friend
Animals	Lion	The lion (Panthera leo) is a species in the family Felidae and a member of the genus Panthera. It has a muscular, deep-chested body, short, rounded head, round ears, and a hairy tuft at the end of its tail. It is sexually dimorphic; adult male lions have a prominent mane. With a typical head-to-body length of 184–208 cm (72–82 in) they are larger than females at 160–184 cm (63–72 in). It is a social species, forming groups called prides. A lion pride consists of a few adult males, related females and cubs. Groups of female lions usually hunt together, preying mostly on large ungulates. The lion is an apex and keystone predator; although some lions scavenge when opportunities occur and have been known to hunt humans, the species typically does not. Typically, the lion inhabits grasslands and savannas, but is absent in dense forests. It is usually more diurnal than other big cats, but when persecuted it adapts to being active at night and at twilight. During the Neolithic period, the lion ranged from Central Asia, Southeast Europe to Africa, but today it has been reduced to fragmented populations in sub-Saharan Africa and one critically endangered population in western India. It has been listed as Vulnerable on the IUCN Red List since 1996 because populations in African countries have declined by about 43% since the early 1990s. Lion populations are untenable outside designated protected areas. Although the cause of the decline is not fully understood, habitat loss and conflicts with humans are the greatest causes for concern. One of the most widely recognised animal symbols in human culture, the lion has been extensively depicted in sculptures and paintings, on national flags, and in contemporary films and literature. Lions have been kept in menageries since the time of the Roman Empire and have been a key species sought for exhibition in zoological gardens across the world since the late 18th century. Cultural depictions of lions were prominent in Ancient Egypt, and depictions have occurred in virtually all ancient and medieval cultures in the lion's former and current ranges.	the lion panthera leo is a species in the family felidae and a member of the genus panthera it has a muscular deep chested body short rounded head round ears and a hairy tuft at the end of its tail it is sexually dimorphic adult male lions have a prominent mane with a typical head to body length of cm in they are larger than females at cm in it is a social species forming groups called prides a lion pride consists of a few adult males related females and cubs groups of female lions usually hunt together preying mostly on large ungulates the lion is an apex and keystone predator although some lions scavenge when opportunities occur and have been known to hunt humans the species typically does not typically the lion inhabits grasslands and savannas but is absent in dense forests it is usually more diurnal than other big cats but when persecuted it adapts to being active at night and at twilight during the neolithic period the lion ranged from central asia southeast europe to africa but today it has been reduced to fragmented populations in sub saharan africa and one critically endangered population in western india it has been listed as vulnerable on the iucn red list since because populations in african countries have declined by about since the early lion populations are untenable outside designated protected areas although the cause of the decline is not fully understood habitat loss and conflicts with humans are the greatest causes for concern one of the most widely recognised animal symbols in human culture the lion has been extensively depicted in sculptures and paintings on national flags and in contemporary films and literature lions have been kept in menageries since the time of the roman empire and have been a key species sought for exhibition in zoological gardens across the world since the late century cultural depictions of lions were prominent in ancient egypt and depictions have occurred in virtually all ancient and medieval cultures in the lion s former and current ranges
Animals	Fox	"Foxes are small to medium-sized, omnivorous mammals belonging to several genera of the family Canidae. Foxes have a flattened skull, upright triangular ears, a pointed, slightly upturned snout, and a long bushy tail (or brush). Twelve species belong to the monophyletic ""true foxes"" group of genus Vulpes. Approximately another 25 current or extinct species are always or sometimes called foxes; these foxes are either part of the paraphyletic group of the South American foxes, or of the outlying group, which consists of the bat-eared fox, gray fox, and island fox.[1] Foxes live on every continent except Antarctica. By far the most common and widespread species of fox is the red fox (Vulpes vulpes) with about 47 recognized subspecies.[2] The global distribution of foxes, together with their widespread reputation for cunning, has contributed to their prominence in popular culture and folklore in many societies around the world. The hunting of foxes with packs of hounds, long an established pursuit in Europe, especially in the British Isles, was exported by European settlers to various parts of the New World."	foxes are small to medium sized omnivorous mammals belonging to several genera of the family canidae foxes have a flattened skull upright triangular ears a pointed slightly upturned snout and a long bushy tail or brush twelve species belong to the monophyletic true foxes group of genus vulpes approximately another current or extinct species are always or sometimes called foxes these foxes are either part of the paraphyletic group of the south american foxes or of the outlying group which consists of the bat eared fox gray fox and island fox foxes live on every continent except antarctica by far the most common and widespread species of fox is the red fox vulpes vulpes with about recognized subspecies the global distribution of foxes together with their widespread reputation for cunning has contributed to their prominence in popular culture and folklore in many societies around the world the hunting of foxes with packs of hounds long an established pursuit in europe especially in the british isles was exported by european settlers to various parts of the new world
